Strike,Last Price,Bid,Ask
250,6.2,5.52,5.86
255,7,6.34,6.57
260,7.8,7.1,7.34
265,8.15,7.81,8.17
270,9.17,8.72,9.08
275,10.1,9.71,10.07
280,11.6,11,11.12
285,12.58,11.88,12.27
286,12.59,12.11,12.5
287,20.9,13.48,13.69
288,16.69,12.59,12.99
289,15.85,12.83,13.24
290,13.57,13.09,13.5
291,14.96,13.35,13.76
292,15.54,13.6,14.02
293,15.36,13.86,14.3
294,14.64,14.14,14.56
295,15.63,14.4,14.82
296,19.4,14.67,15.12
297,15.9,14.95,15.39
298,16.79,15.24,15.68
299,20.18,15.54,15.96
300,16.26,15.86,16.27
301,18.74,16.13,16.55
302,16.98,16.6,16.86
303,19.05,16.91,17.18
304,18.84,17.06,17.5
305,17.84,17.54,17.82
306,19.63,17.71,18.15
307,19.2,18.2,18.48
308,20.1,18.39,18.82
309,19.21,18.74,19.16
310,19.69,19.12,19.51
315,21.3,21.05,21.37
320,23.5,23.04,23.46
325,26.92,25.35,25.78
330,29.67,27.18,29.04
350,50,40.44,42.44